apn,address,base_zoning,lot_size_sqft,zip_code,original_score,calibrated_score,score_improvement,original_tier,calibrated_tier,toc_tier,toc_bonus_points,toc_station,distance_to_transit,final_use_case,investment_grade
6041012008,8855 S SAN PEDRO ST,RD2,2570.8,90003.0,38.78,40.82,2.039999999999999,D,D,0.0,0.0,Farmdale,3892.0,Hold/Income Property,False
5304014001,815 E MONTECITO DR,R1,7302.2,90031.0,33.25,33.85,0.6000000000000014,D,D,,,,,Hold/Income Property,False
2214007021,7921 N PEACHTREE AVE,R1,6204.4,91402.0,32.01,30.45,-1.5599999999999987,D,D,0.0,0.0,Expo/La Cienega,7071.0,Hold/Income Property,False
5085012018,5422 W EDGEWOOD PL,R2,6250.1,90019.0,35.56,35.75,0.18999999999999773,D,D,,,,,Hold/Income Property,False
2276005036,4466 N NOBLE AVE,RD1.5,4899.9,91403.0,39.95,37.15,-2.8000000000000043,D,D,,,,,Hold/Income Property,False
2356011002,12210 W MORRISON ST,R1,9799.8,91607.0,35.33,33.12,-2.210000000000001,D,D,,,,,Hold/Income Property,False
6050008021,625 E 94TH ST,R1,5053.9,90002.0,30.57,29.3,-1.2699999999999996,D,D,,,,,Hold/Income Property,False
4311008007,3033 S BEVERLY DR,R1V2,5000.1,90034.0,30.5,29.25,-1.25,D,D,,,,,Hold/Income Property,False
2034028031,24125 W HARTLAND ST,RS,7499.8,91307.0,32.72,30.88,-1.8399999999999999,D,D,,,,,Hold/Income Property,False
5057014020,2745 S HARCOURT AVE,R2,5200.9,90016.0,34.25,36.2,1.9500000000000028,D,D,,,,,Hold/Income Property,False
4113011009,8040 S FORDHAM ROAD,R1,6253.3,90045.0,32.07,30.5,-1.5700000000000003,D,D,0.0,0.0,Firestone,9957.0,Hold/Income Property,False
2733019037,17458 W CHATSWORTH ST,C1,6041.7,91344.0,44.3,43.54,-0.759999999999998,D,D,,,,,Hold/Income Property,False
6050011030,859 E 95TH ST,R1,4849.1,90002.0,30.12,29.1,-1.0199999999999996,D,D,0.0,0.0,North Hollywood,39541.0,Hold/Income Property,False
2627022003,13141 W TONOPAH ST,R1,6018.6,91331.0,31.77,30.27,-1.5,D,D,0.0,0.0,Hollywood/Vine,6711.0,Hold/Income Property,False
6022027019,7806 1/2 S CROCKER ST,RD1.5,6137.4,90003.0,43.12,40.89,-2.229999999999997,D,D,0.0,0.0,,,Hold/Income Property,False
4405037027,244 S MEDIO DR,R1,7515.3,90049.0,32.93,30.59,-2.34,D,D,0.0,0.0,North Hollywood,51657.0,Hold/Income Property,False
2531034029,11804 W JOUETT ST,()R1,6138.1,91342.0,30.17,32.14,1.9699999999999989,D,D,0.0,0.0,Sierra Madre Villa,38370.0,Hold/Income Property,False
5015027007,4638 S ARLINGTON AVE,R2,6044.8,90043.0,35.31,37.94,2.6299999999999955,D,D,,,,,Hold/Income Property,False
2135036026,20156 W BASSETT ST,RS,7751.5,91306.0,32.93,31.05,-1.879999999999999,D,D,0.0,0.0,,,Hold/Income Property,False
2209002015,15223 W BURTON ST,R1,6557.5,91402.0,32.45,30.81,-1.6400000000000041,D,D,0.0,0.0,Sierra Madre Villa,47449.0,Hold/Income Property,False
2384006011,12814 W HALKIRK ST,R1,7499.9,91604.0,33.42,36.08,2.6599999999999966,D,D,2.0,8.0,Montecito Heights,1956.0,Hold/Income Property,False
2638017017,8519 N STANSBURY AVE,R1,5298.8,91402.0,30.87,29.55,-1.3200000000000003,D,D,0.0,0.0,Expo/Bundy,11197.0,Hold/Income Property,False
2184059003,4904 N AVENIDA ORIENTE,RA,22208.7,91356.0,37.7,34.24,-3.460000000000001,D,D,,,,,Hold/Income Property,False
2822024009,11734 N SEMINOLE CIR,RE11,14207.6,91326.0,34.8,33.18,-1.6199999999999974,D,D,,,,,Hold/Income Property,False
4327017003,10332 W EASTBORNE AVE,R1V3,8040.4,90024.0,33.87,31.94,-1.9299999999999962,D,D,0.0,0.0,,,Hold/Income Property,False
